Title,"Director, Writer",Date,Keywords,Genre (Drama/Comedy/etc.),Links,Reviews,Related Resource,Notes
13th,Ava DuVerney,10/7/2016,mass incarceration,Documentary,13th: Netflix,,,"Netflix, ~2h
Racial Taboo resources"
A Place at the table,,,,Documentary,,,,https://blavity.com/7-documentaries-on-netflix-to-awaken-the-civil-rights-activist-in-you/?utm_content=bufferee434&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer
Against All Odds: The Fight for a Black Middle Class,Bob Herbert,"$2,016",,Documentary,http://www.pbs.org/wnet/chasing-the-dream/films/against-all-odds/,http://billmoyers.com/story/odds-required-viewing-white-progressives/,Articles: ‘Against All Odds’ Is Required Viewing for White Progressives, premeired 3/6/2017
American Koko,Diarra Kilpatrick,,satirical comedy,"TV, ABC Digital",http://abc.go.com/shows/american-koko,http://www.essence.com/entertainment/actress-diarra-kilpatrick-one-watch,Articles: Viola Davis Is Producing Comedy Series ‘American Koko’ Online,"Actress Diarra Kilpatrick initially launched the web series on YouTube in 2014, Viola Davis and her husband Julius Tennon produced the series for ABC digital"
Blade,,"$1,998",,,,,,"""Affirmation & Resistance: Black World Film Series"" by North End Breakfast Club & Black Students for Revolution
The Art Theater Co-op"
Cooley High,,"$1,975",,,,,,"""Affirmation & Resistance: Black World Film Series"" by North End Breakfast Club
The Art Theater Co-op"
Cracking the Codes: The System of Racial Inequity,Shakti Butler,,systemic inequity,Documentary,https://crackingthecodes.org,,,"Racial Taboo resources
Film clips
trailer: https://www.youtube.com/watch?v=37pbtz46FSU"
Dear White People,,4/28/2017,satirical comedy,"TV, Netflix",http://www.imdb.com/title/tt5707802/,,,
Ferguson: A Report From Occupied Territory,"Reporter Tim Pool, Director Orlando de Guzman","$2,015",,Documentary,http://fusion.net/video/108471/ferguson-a-report-from-occupied-territory/,http://www.huffingtonpost.com/2015/04/02/fusion-ferguson-documentary_n_6972062.html,,
Ferguson: A Report from Occupied Territory,,,"racial privilege, racial inequality",Documentary,https://www.youtube.com/watch?v=gq9pHONmaLc&feature=youtu.be,,,Racial Taboo resources
Get Out,Jordan Peele,3/1/2017,,"Horror, Mystery",Official Movie Site,Code Switch podcast,,
Hidden Figures,"Ted Melfi
Allison Schroeder, Ted Melfi",1/6/2017,,Drama,Hidden Figures,,,based on the book
I Am Not Your Negro,Raoul Peck,"$2,016",,Documentary,,,,"""Affirmation & Resistance: Black World Film Series"" by North End Breakfast Club
The Art Theater Co-op
Writer James Baldwin tells the story of race in modern America with his unfinished novel, Remember This House"
Mirrors of Privilege: Making White Privilege Visible,Shakti Butler,"$2,006","racial equity, whiteness, white privilege",Documentary,https://www.youtube.com/watch?v=8KYJl0PECv8&feature=youtu.be&list=PL9jzhJhqkkJJPRQkekAU_9RG7urpAdLWF,,,"5 parts
Racial Taboo resources"
"Race: The Power of an Illusion
Part1: The Difference Between Us
Part2: The Story We Tell
Part3: The House We Live In",Christine Herbes-Sommers,"$2,003","race, history, racial privilege, racial inequality",Documentary,http://www.pbs.org/race/000_General/000_00-Home.htm,,,Racial Taboo resources
Racial Taboo,"Brian Grimm, Director","$2,013",,Documentary,Racial Taboo,,,hosted by McKinley Foundation
"Radical Brownies documentary: berets, badges, and social justice",Linda Goldstein Knowlton,,,Documentary,https://www.theguardian.com/world/ng-interactive/2017/jan/06/radical-brownies-berets-badges-and-social-justice-video,https://www.theguardian.com/news/2017/jan/06/radical-brownies-documentary-berets-badges-and-social-justice,,
The Black Power Mixtape 1967-1975,,,,Documentary,,,,https://blavity.com/7-documentaries-on-netflix-to-awaken-the-civil-rights-activist-in-you/?utm_content=bufferee434&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer
The Central Park Five,,,,Documentary,,,,https://blavity.com/7-documentaries-on-netflix-to-awaken-the-civil-rights-activist-in-you/?utm_content=bufferee434&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer
The Color of Fear,Lee Mun Wah,"$1,994",racial conversation,Documentary,https://www.youtube.com/watch?v=vBSImagHK8c&feature=youtu.be,,,"Racial Taboo resources
http://www.diversitytrainingfilms.com"
The House I Live In,Eugene Jarecki,10/5/2012,"war on drugs, mass incarceration",Documentary,http://www.pbs.org/independentlens/films/house-i-live-in/,,,Racial Taboo resources
The Internet's Own Boy: The Story of Aaron Swartz,,,,Documentary,,,,https://blavity.com/7-documentaries-on-netflix-to-awaken-the-civil-rights-activist-in-you/?utm_content=bufferee434&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer
The Murder of Fred Hampton,Mike Gray & Howard Alk,"$1,971",,Documentary,,,,"Illinois Black Panther Party
The Art Theater Co-op sponsored by North End Breakfast Club"
The Square,,,,Documentary,,,,https://blavity.com/7-documentaries-on-netflix-to-awaken-the-civil-rights-activist-in-you/?utm_content=bufferee434&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer
What Happened Miss Simone?,,,,Documentary,,,,https://blavity.com/7-documentaries-on-netflix-to-awaken-the-civil-rights-activist-in-you/?utm_content=bufferee434&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer
White Like Me,Tim Wise,,"whiteness, white privilege, race, racism",Documentary,http://www.mediaed.org/whitelikeme/index.html,,,Racial Taboo resources
Winter on Fire: Ukraine's Fight for Freedom,,,,Documentary,,,,https://blavity.com/7-documentaries-on-netflix-to-awaken-the-civil-rights-activist-in-you/?utm_content=bufferee434&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer